Material,Quantity (per station),Stations,Station count
Address labels,shared,PYS-11,1
Answer boards,per team,TTT-10,1
Approved fuels,"banana, sugar water, bread, leaf litter",TTT-01,1
Baking soda solution,shared,TTB-04,1
Balloons,per team,PYS-09,1
Balloons or membranes,shared,PYS-04,1
Barrier sheets,shared,PYS-01,1
Bin cards,set,PYS-11,1
Binder clips,shared,PYS-12,1
Campus maps,per team,TTB-03,1
Cardboard,shared,PYB-01 PYS-03,2
Cardboard sleeves,per team,PYS-02,1
Cardstock,shared,PYS-07 TTT-11,2
Center-of-mass templates,per team,PYS-08,1
Claim-evidence cards,per team,TTT-10,1
Classroom pulleys,per team,PYB-03,1
Clear nail polish or slides,shared,TTT-12,1
Clear tape,shared,TTT-12,1
Clipboards,6,PYS-05 PYS-06 PYS-08 TTB-02 TTB-03 TTT-02 TTT-05 TTT-08,8
Clue cards,set,TTT-08,1
Cones,shared,PYS-05,1
Control dial boards,per team,TTT-05,1
Cornstarch,bulk,PYS-02,1
Cotton string,shared,TTT-04,1
Craft sticks,shared,PYS-03 PYS-12 TTB-01,3
Cups,per team,TTB-04 TTT-04,2
Diffraction glasses or gratings,per student,PYS-10,1
Display timer,1,TTT-09,1
Dominoes,per team,PYB-02,1
Dowels,shared,PYS-12,1
Dry erase boards,per team,PYB-04,1
Dry erase markers,per team,TTT-05,1
Dry pine cones,shared,TTT-06,1
Element cards,set,PYS-08,1
Elevation blocks,shared,TTT-04,1
Evidence token bags,per team,TTT-08,1
Fan or marked lane,1 test zone,TTT-03,1
Felt strips,shared,TTT-04,1
Flexible tubing,per team,PYS-04,1
Floor tape,shared,PYS-06 PYS-09,2
Foam,per team,PYB-01,1
Foam board,per team,PYS-12,1
Foil,for aperture,PYS-07,1
Food coloring,shared,TTT-04,1
Fresh soil or mud,fill each vessel,TTT-01,1
Funnels,per team,PYS-04,1
Gloves,per student,TTT-12,1
Grabber tool,optional,PYS-11,1
Graph paper,per team,PYB-01,1
Grid boards,per team,TTT-07,1
Grid sheets,per team,TTT-12,1
Hot glue,staff station,PYS-03 PYS-09,2
Incandescent source,if available,PYS-10,1
Index cards,shared,PYB-02 TTT-06,2
Labels and tape,shared,TTT-01,1
Leaf samples,varied,TTT-12,1
LED sources,shared,PYS-10,1
Light source,shared,PYS-07,1
Markers,shared,TTT-07,1
Masking tape,shared,TTT-03 TTT-11,2
Maze boards,per team,PYS-01,1
Metal slinkies,4 to 6,PYS-06,1
Meter sticks,per team,PYS-05,1
Minecraft Education devices or paper grid kit,per team,TTT-09,1
DIY soil fuel cell kit (24 oz deli cup; two 4x4 in carbon-felt electrodes; 100 kohm resistor; alligator leads),per team,TTT-01,1
Multimeters (DC mV readout),per team,TTT-01,1
Museum clue sheets,per team,PYS-10,1
Nitrile gloves,per student,TTT-01,1
"Oral syringes, no needle",per team,TTB-04,1
Order deck,per team,PYS-11,1
Paper and cardstock,shared,TTT-03,1
Paper clinometers,per team,TTB-02 TTT-02,2
Paper clips,for mass,TTT-03,1
Paper towels,shared,TTT-04,1
Pencils,shared,PYB-01 PYS-08 TTT-02 TTT-08,4
Pepper or cocoa,residue,TTT-11,1
Pipettes,per team,TTT-11,1
Plant cards,set,TTT-07,1
Plant profile cards,set,TTT-05,1
Pollinator cards,set,TTT-07,1
Pop-top bottle caps,per team,PYS-09,1
Printed barcode cards,set,PYB-04,1
Printed ring cards,set,TTT-10,1
Pushpins or paper clips,shared,PYS-07,1
QR codes,optional,TTT-08,1
Ramps,per team,TTT-11,1
Recycled CDs or discs,per team,PYS-09,1
Route cards,shared,TTT-02,1
Route map,per team,TTT-08,1
Route mat,per team,PYS-11,1
Rubric cards,per team,TTT-09,1
Rulers,per team,PYB-02 PYS-12 TTT-06,3
Rulers and tape measures,shared,TTB-02,1
Sandpaper strips,shared,TTT-11,1
Sanitizing wipes,shared,PYS-04,1
Scissors,per team,PYS-03,1
Score sheets,per team,PYS-05,1
Season tokens,shared,TTT-07,1
Skewers,shared,PYS-03,1
Small neodymium magnets,controlled count,PYS-01,1
Soil,shared,TTB-01,1
Soil moisture meters (3-in-1; also reads light),per team,TTT-02,1
Spectrum cards,set,PYS-10,1
Spinach leaves,shared,TTB-04,1
Spoons and trays,per team,PYS-02,1
Spray bottles,per team,TTT-06,1
Spring scales,if available,PYB-03,1
Station cards,set,PYS-06,1
Steel tokens or paper clips,per team,PYS-01,1
Stickers,shared,TTT-07,1
Stopwatches,per team,PYS-04 PYS-05,2
Straws,bearings,PYS-03,1
String,shared,PYB-03 TTT-03,2
String and washers,shared,TTB-02,1
String or yarn roots,shared,TTB-01,1
Tape,shared,PYB-02 PYS-03 PYS-04 PYS-07 PYS-12,5
Tape and fasteners,shared,TTT-06,1
Targets,shared,PYS-09,1
Template,shared,TTT-09,1
Test weights,shared,PYS-02,1
Temperature and humidity meters (one combined unit),per team,TTT-02,1
Thermometers or IR thermometers,per team,TTB-03,1
Timers,per team,PYB-04 PYS-01 PYS-11 TTB-04 TTT-03 TTT-10,6
Tour clue sheets,per team,TTT-05,1
Trays,per team,TTB-01 TTT-04,2
USB microscopes or magnifiers,per team,TTT-12,1
Water,shared,PYS-02 TTT-11,2
Watering cups,per team,TTB-01,1
Wax paper,shared,TTT-11,1
Weighted cart,shared,PYS-12,1
Weights,shared,PYB-01 PYB-03,2
White screen paper,per team,PYS-07,1
Wood cookies or images,shared,TTT-10,1
Wood skewers,shared,TTT-06,1
Zip bags,per team,PYS-02,1
